project,amount,billDate,type
FE3AH,-47936.25,2020-04-01,01-Vendor
FE3AH,-46800.48,2020-04-01,01-Vendor
FE3AH,-46316.25,2020-08-01,01-Vendor
FE3AH,-45450.0,2020-08-01,01-Vendor
FE3AH,-45000.0,2020-06-01,01-Vendor
FE3AH,-44842.5,2020-04-01,01-Vendor
FE3AH,-41850.0,2020-06-01,01-Vendor
FE3AH,-41512.0,2020-07-01,01-Vendor
FE3AH,-41511.76,2020-04-01,01-Vendor
FE3AH,-40500.0,2020-03-01,01-Vendor
FE3AH,-40207.5,2020-07-01,01-Vendor
FE3AH,-39600.0,2020-09-01,01-Vendor
FE3AH,-38882.0,2021-01-01,01-Vendor
FE3AH,-37800.0,2020-11-01,01-Vendor
FE3AH,-37638.0,2020-05-01,01-Vendor
FE3AH,-36787.5,2020-08-01,01-Vendor
FE3AH,-36494.0,2020-07-01,01-Vendor
FE3AH,-35100.0,2020-07-01,01-Vendor
FE3AH,-34411.5,2020-04-01,01-Vendor
FE3AH,-34377.75,2020-03-01,01-Vendor
FE3AH,-33975.0,2020-10-01,01-Vendor
FE3AH,-32624.2,2020-04-01,01-Vendor
FE3AH,-30692.25,2020-06-01,01-Vendor
FE3AH,-29580.75,2021-03-01,01-Vendor
FE3AH,-28687.5,2020-09-01,01-Vendor
FE3AH,-26550.0,2020-08-01,01-Vendor
FE3AH,-26105.63,2020-12-01,01-Vendor
FE3AH,-25511.25,2020-07-01,01-Vendor
FE3AH,-25016.25,2020-08-01,01-Vendor
FE3AH,-24300.27,2020-04-01,01-Vendor
FE3AH,-24300.27,2020-05-01,01-Vendor
FE3AH,-23229.38,2020-09-01,01-Vendor
FE3AH,-22644.0,2021-04-01,01-Vendor
FE3AH,-21768.75,2020-06-01,01-Vendor
FE3AH,-19974.375,2020-07-01,01-Vendor
FE3AH,-19635.0,2020-08-01,01-Vendor
FE3AH,-18988.13,2020-09-01,01-Vendor
FE3AH,-18279.375,2020-10-01,01-Vendor
FE3AH,-18000.0,2020-09-01,01-Vendor
FE3AH,-16117.5,2020-12-01,01-Vendor
FE3AH,-15225.544500000004,2021-02-01,02-RBEI
FE3AH,-15094.5185,2021-03-01,02-RBEI
FE3AH,-14936.25,2020-09-01,01-Vendor
FE3AH,-14737.5,2020-10-01,01-Vendor
FE3AH,-14540.625,2020-10-01,01-Vendor
FE3AH,-14506.211500000003,2021-01-01,02-RBEI
FE3AH,-14503.13,2020-11-01,01-Vendor
FE3AH,-13013.0,2020-07-01,01-Vendor
FE3AH,-11655.0,2021-03-01,01-Vendor
FE3AH,-10509.0,2020-11-01,01-Vendor
FE3AH,-9348.75,2021-02-01,01-Vendor
FE3AH,-8100.0,2020-11-01,01-Vendor
FE3AH,-7200.0,2020-12-01,01-Vendor
FE3AH,-5122.22,2020-08-01,01-Vendor
FE3AH,-5100.0,2020-08-01,01-Vendor
FE3AH,-4800.0,2020-04-01,01-Vendor
FE3AH,-4754.5,2020-04-01,01-Vendor
FE3AH,-4548.0,2021-02-01,01-Vendor
FE3AH,-4430.0,2020-10-01,01-Vendor
FE3AH,-4006.88,2020-12-01,01-Vendor
FE3AH,-3833.33,2020-07-01,01-Vendor
FE3AH,-3064.28,2020-09-01,01-Vendor
FE3AH,-2915.53,2020-12-01,01-Vendor
FE3AH,-2786.25,2021-01-01,01-Vendor
FE3AH,-2750.0,2020-08-01,01-Vendor
FE3AH,-2187.5,2020-09-01,01-Vendor
FE3AH,-1999.85,2020-06-01,01-Vendor
FE3AH,-1880.0,2020-04-01,01-Vendor
FE3AH,-1610.0,2020-11-01,01-Vendor
