project,amount,invoiceDate,type
GE13,-45967.5,2019-12-01,02-RBEI
FE5AB/6AB,-47723.7,2019-12-01,02-RBEI
BYD,-47276.6,2019-12-01,02-RBEI
HMI,-25370.7,2019-12-01,02-RBEI
GE13,-45348.75,2019-12-01,02-RBEI
GE13,-6263.5,2020-01-01,02-RBEI
GE13,-1105.59,2020-01-01,02-RBEI
GE13,-14000,2020-01-01,02-RBEI
FE5AB/6AB,-19850,2020-01-01,02-RBEI
GE13,-19850,2020-01-01,02-RBEI
GE13,-29070,2020-01-01,02-RBEI
GE13,-26775,2020-01-01,02-RBEI
GE13,-30993.75,2020-01-01,02-RBEI
FE5AB/6AB,-26250,2020-01-01,02-RBEI
GE13,-29295,2020-01-01,02-RBEI
FE5AB/6AB,-33052.5,2020-01-01,02-RBEI
GE13,-23626.1,2020-01-01,02-RBEI
GE13,-35055,2020-01-01,02-RBEI
GE13,-22949.9,2020-01-01,02-RBEI
FE5AB/6AB,-27930,2020-01-01,02-RBEI
FE5AB/6AB,-32703.75,2020-01-01,02-RBEI
FE5AB/6AB,-34998.75,2020-01-01,02-RBEI
GE13,-28800,2020-01-01,02-RBEI
FE5AB/6AB,-23850,2020-01-01,02-RBEI
BYD,-28325.7,2020-01-01,02-RBEI
HMI,-19800,2020-01-01,02-RBEI
GE13,-28057.5,2020-01-01,02-RBEI
FE5AB/6AB,-2300,2020-02-01,02-RBEI
GE13,-736,2020-02-01,02-RBEI
FE5AB/6AB,-506.87,2020-02-01,02-RBEI
FE5AB/6AB,-19850,2020-02-01,02-RBEI
GE13,-19850,2020-02-01,02-RBEI
GE13,-29250,2020-02-01,02-RBEI
GE13,-23625,2020-02-01,02-RBEI
FE5AB/6AB,-28455,2020-02-01,02-RBEI
GE13,-15187.5,2020-02-01,02-RBEI
FE5AB/6AB,-29925,2020-02-01,02-RBEI
FE5AB/6AB,-24300,2020-02-01,02-RBEI
FE5AB/6AB,-6637.5,2020-02-01,02-RBEI
GE13,-25200,2020-02-01,02-RBEI
GE13,-13500,2020-02-01,02-RBEI
FE5AB/6AB,-17220,2020-02-01,02-RBEI
FE5AB/6AB,-29565,2020-02-01,02-RBEI
FE5AB/6AB,-26775,2020-02-01,02-RBEI
GE13,-21150,2020-02-01,02-RBEI
